,placements,joueurs ,score ,,Mois concerné (Ne pas bouger de la premiere case),SQL insert (DONT TOUCH ANYTHING !!! PAS TOUCHE !!!)
The Princess Bride Pinball,14,boulibaye7518,180 771 715,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),14,(SELECT Id FROM Player WHERE Pseudo ='boulibaye7518'),180771715,'2024-12');"
The Princess Bride Pinball,15,spoutnut [Pinball Mag],180 383 198,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),15,(SELECT Id FROM Player WHERE Pseudo ='spoutnut [Pinball Mag]'),180383198,'2024-12');"
The Princess Bride Pinball,16,barfridgepsb,160 829 881,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),16,(SELECT Id FROM Player WHERE Pseudo ='barfridgepsb'),160829881,'2024-12');"
The Princess Bride Pinball,17,Benoit XII [Team Flipper VR],154 522 223,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),17,(SELECT Id FROM Player WHERE Pseudo ='Benoit XII [Team Flipper VR]'),154522223,'2024-12');"
The Princess Bride Pinball,18,nulldepict,154 459 120,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),18,(SELECT Id FROM Player WHERE Pseudo ='nulldepict'),154459120,'2024-12');"
The Princess Bride Pinball,19,Ribsta34,149 454 207,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),19,(SELECT Id FROM Player WHERE Pseudo ='Ribsta34'),149454207,'2024-12');"
The Princess Bride Pinball,20,stevo,149 387 072,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),20,(SELECT Id FROM Player WHERE Pseudo ='stevo'),149387072,'2024-12');"
The Princess Bride Pinball,21,Aegylon,148 426 314,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),21,(SELECT Id FROM Player WHERE Pseudo ='Aegylon'),148426314,'2024-12');"
The Princess Bride Pinball,22,kay989,147 979 690,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),22,(SELECT Id FROM Player WHERE Pseudo ='kay989'),147979690,'2024-12');"
The Princess Bride Pinball,23,Jefferson,147 741 483,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),23,(SELECT Id FROM Player WHERE Pseudo ='Jefferson'),147741483,'2024-12');"
The Princess Bride Pinball,24,Roxoror,145 796 212,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),24,(SELECT Id FROM Player WHERE Pseudo ='Roxoror'),145796212,'2024-12');"
The Princess Bride Pinball,25,Qiyamah,143 684 550,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),25,(SELECT Id FROM Player WHERE Pseudo ='Qiyamah'),143684550,'2024-12');"
The Princess Bride Pinball,26,Tracebustin,135 309 796,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),26,(SELECT Id FROM Player WHERE Pseudo ='Tracebustin'),135309796,'2024-12');"
The Princess Bride Pinball,27,Anthony,134 847 953,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),27,(SELECT Id FROM Player WHERE Pseudo ='Anthony'),134847953,'2024-12');"
The Princess Bride Pinball,28,JoeSoap,127 514 820,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),28,(SELECT Id FROM Player WHERE Pseudo ='JoeSoap'),127514820,'2024-12');"
The Princess Bride Pinball,29,Alex,123 733 907,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),29,(SELECT Id FROM Player WHERE Pseudo ='Alex'),123733907,'2024-12');"
The Princess Bride Pinball,30,Zeron,122 566 032,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),30,(SELECT Id FROM Player WHERE Pseudo ='Zeron'),122566032,'2024-12');"
The Princess Bride Pinball,31,Marcus,122 435 315,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),31,(SELECT Id FROM Player WHERE Pseudo ='Marcus'),122435315,'2024-12');"
The Princess Bride Pinball,32,Mind Boggling,121 049 818,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),32,(SELECT Id FROM Player WHERE Pseudo ='Mind Boggling'),121049818,'2024-12');"
The Princess Bride Pinball,33,JUNKER Gibson,119 597 987,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),33,(SELECT Id FROM Player WHERE Pseudo ='JUNKER Gibson'),119597987,'2024-12');"
The Princess Bride Pinball,34,Ryroby1,117 534 263,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),34,(SELECT Id FROM Player WHERE Pseudo ='Ryroby1'),117534263,'2024-12');"
The Princess Bride Pinball,35,kdecgp,114 348 906,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),35,(SELECT Id FROM Player WHERE Pseudo ='kdecgp'),114348906,'2024-12');"
The Princess Bride Pinball,36,Tame_Pounce,113 833 316,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),36,(SELECT Id FROM Player WHERE Pseudo ='Tame_Pounce'),113833316,'2024-12');"
The Princess Bride Pinball,37,Madmartigan,107 718 154,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),37,(SELECT Id FROM Player WHERE Pseudo ='Madmartigan'),107718154,'2024-12');"
The Princess Bride Pinball,38,Mickey019,106 946 379,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),38,(SELECT Id FROM Player WHERE Pseudo ='Mickey019'),106946379,'2024-12');"
The Princess Bride Pinball,39,Strano,98 038 604,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),39,(SELECT Id FROM Player WHERE Pseudo ='Strano'),98038604,'2024-12');"
The Princess Bride Pinball,40,Dicentim,97 884 362,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),40,(SELECT Id FROM Player WHERE Pseudo ='Dicentim'),97884362,'2024-12');"
The Princess Bride Pinball,41,BlueCrayon77,96 380 776,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),41,(SELECT Id FROM Player WHERE Pseudo ='BlueCrayon77'),96380776,'2024-12');"
The Princess Bride Pinball,42,Helder Scroll,95 657 224,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),42,(SELECT Id FROM Player WHERE Pseudo ='Helder Scroll'),95657224,'2024-12');"
The Princess Bride Pinball,43,Lu,95 654 014,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),43,(SELECT Id FROM Player WHERE Pseudo ='Lu'),95654014,'2024-12');"
The Princess Bride Pinball,44,bowlingman88,94 429 125,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),44,(SELECT Id FROM Player WHERE Pseudo ='bowlingman88'),94429125,'2024-12');"
The Princess Bride Pinball,45,PGH_Mike79,93 396 179,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),45,(SELECT Id FROM Player WHERE Pseudo ='PGH_Mike79'),93396179,'2024-12');"
The Princess Bride Pinball,46,Shrodingers God,92 992 502,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),46,(SELECT Id FROM Player WHERE Pseudo ='Shrodingers God'),92992502,'2024-12');"
The Princess Bride Pinball,47,Poison,91 966 686,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),47,(SELECT Id FROM Player WHERE Pseudo ='Poison'),91966686,'2024-12');"
The Princess Bride Pinball,48,MicrowaveDeath,91 828 974,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),48,(SELECT Id FROM Player WHERE Pseudo ='MicrowaveDeath'),91828974,'2024-12');"
The Princess Bride Pinball,49,Anaicapito,90 435 453,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),49,(SELECT Id FROM Player WHERE Pseudo ='Anaicapito'),90435453,'2024-12');"
The Princess Bride Pinball,50,coughE,89 539 316,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),50,(SELECT Id FROM Player WHERE Pseudo ='coughE'),89539316,'2024-12');"
The Princess Bride Pinball,51,stefan,89 376 336,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),51,(SELECT Id FROM Player WHERE Pseudo ='stefan'),89376336,'2024-12');"
The Princess Bride Pinball,52,articulo-cubica0,88 884 439,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),52,(SELECT Id FROM Player WHERE Pseudo ='articulo-cubica0'),88884439,'2024-12');"
The Princess Bride Pinball,53,J4k3 Ry4n,88 559 056,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),53,(SELECT Id FROM Player WHERE Pseudo ='J4k3 Ry4n'),88559056,'2024-12');"
The Princess Bride Pinball,54,ZOGSLAYER,88 400 905,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),54,(SELECT Id FROM Player WHERE Pseudo ='ZOGSLAYER'),88400905,'2024-12');"
The Princess Bride Pinball,55,Crow Continuum,87 404 658,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),55,(SELECT Id FROM Player WHERE Pseudo ='Crow Continuum'),87404658,'2024-12');"
The Princess Bride Pinball,56,Badger70,84 698 629,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),56,(SELECT Id FROM Player WHERE Pseudo ='Badger70'),84698629,'2024-12');"
The Princess Bride Pinball,57,Ref Jeff,84 083 001,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),57,(SELECT Id FROM Player WHERE Pseudo ='Ref Jeff'),84083001,'2024-12');"
The Princess Bride Pinball,58,dookieagain,83 979 196,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),58,(SELECT Id FROM Player WHERE Pseudo ='dookieagain'),83979196,'2024-12');"
The Princess Bride Pinball,59,ematamusic,83 689 867,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),59,(SELECT Id FROM Player WHERE Pseudo ='ematamusic'),83689867,'2024-12');"
The Princess Bride Pinball,60,SMerrell,83 631 564,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),60,(SELECT Id FROM Player WHERE Pseudo ='SMerrell'),83631564,'2024-12');"
The Princess Bride Pinball,61,Ondrez,83 305 711,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),61,(SELECT Id FROM Player WHERE Pseudo ='Ondrez'),83305711,'2024-12');"
The Princess Bride Pinball,62,Jerry [Team FipperVR],80 458 069,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),62,(SELECT Id FROM Player WHERE Pseudo ='Jerry [Team FipperVR]'),80458069,'2024-12');"
The Princess Bride Pinball,63,DrFeelgood,80 424 883,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),63,(SELECT Id FROM Player WHERE Pseudo ='DrFeelgood'),80424883,'2024-12');"
The Princess Bride Pinball,64,admiralackbar111,80 170 718,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),64,(SELECT Id FROM Player WHERE Pseudo ='admiralackbar111'),80170718,'2024-12');"
The Princess Bride Pinball,65,Tosta,78 198 695,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),65,(SELECT Id FROM Player WHERE Pseudo ='Tosta'),78198695,'2024-12');"
The Princess Bride Pinball,66,pinballwiz45b,77 523 489,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),66,(SELECT Id FROM Player WHERE Pseudo ='pinballwiz45b'),77523489,'2024-12');"
The Princess Bride Pinball,67,MaltyBall,76 956 247,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),67,(SELECT Id FROM Player WHERE Pseudo ='MaltyBall'),76956247,'2024-12');"
The Princess Bride Pinball,68,zwiebelkowski,76 066 388,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),68,(SELECT Id FROM Player WHERE Pseudo ='zwiebelkowski'),76066388,'2024-12');"
The Princess Bride Pinball,69,vidrackar,75 056 366,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),69,(SELECT Id FROM Player WHERE Pseudo ='vidrackar'),75056366,'2024-12');"
The Princess Bride Pinball,70,SavouryTub203,75 012 479,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),70,(SELECT Id FROM Player WHERE Pseudo ='SavouryTub203'),75012479,'2024-12');"
The Princess Bride Pinball,71,Camel Tokyo,74 577 582,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),71,(SELECT Id FROM Player WHERE Pseudo ='Camel Tokyo'),74577582,'2024-12');"
The Princess Bride Pinball,72,geronimoingame,74 469 305,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),72,(SELECT Id FROM Player WHERE Pseudo ='geronimoingame'),74469305,'2024-12');"
The Princess Bride Pinball,73,DeviousOne34,74 132 161,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),73,(SELECT Id FROM Player WHERE Pseudo ='DeviousOne34'),74132161,'2024-12');"
The Princess Bride Pinball,74,Ninjasage,74 129 906,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),74,(SELECT Id FROM Player WHERE Pseudo ='Ninjasage'),74129906,'2024-12');"
The Princess Bride Pinball,75,TritiumLUPsClub,73 774 501,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),75,(SELECT Id FROM Player WHERE Pseudo ='TritiumLUPsClub'),73774501,'2024-12');"
The Princess Bride Pinball,76,pinhondje,73 339 148,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),76,(SELECT Id FROM Player WHERE Pseudo ='pinhondje'),73339148,'2024-12');"
The Princess Bride Pinball,77,Slayerdon,72 926 572,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),77,(SELECT Id FROM Player WHERE Pseudo ='Slayerdon'),72926572,'2024-12');"
The Princess Bride Pinball,78,GARCIA LUPs,72 340 577,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),78,(SELECT Id FROM Player WHERE Pseudo ='GARCIA LUPs'),72340577,'2024-12');"
The Princess Bride Pinball,79,Briki2049,71 985 138,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),79,(SELECT Id FROM Player WHERE Pseudo ='Briki2049'),71985138,'2024-12');"
The Princess Bride Pinball,80,NakBak,71 616 671,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),80,(SELECT Id FROM Player WHERE Pseudo ='NakBak'),71616671,'2024-12');"
The Princess Bride Pinball,81,schelmi 59 ,70 748 817,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),81,(SELECT Id FROM Player WHERE Pseudo ='schelmi 59 '),70748817,'2024-12');"
The Princess Bride Pinball,82,sonictonic72,69 008 399,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),82,(SELECT Id FROM Player WHERE Pseudo ='sonictonic72'),69008399,'2024-12');"
The Princess Bride Pinball,83,BurningHarvest,68 103 040,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),83,(SELECT Id FROM Player WHERE Pseudo ='BurningHarvest'),68103040,'2024-12');"
The Princess Bride Pinball,84,Kleig_Karath,67 810 518,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),84,(SELECT Id FROM Player WHERE Pseudo ='Kleig_Karath'),67810518,'2024-12');"
The Princess Bride Pinball,85,AgentLloyd,67 509 628,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),85,(SELECT Id FROM Player WHERE Pseudo ='AgentLloyd'),67509628,'2024-12');"
The Princess Bride Pinball,86,when whubz,67 225 902,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),86,(SELECT Id FROM Player WHERE Pseudo ='when whubz'),67225902,'2024-12');"
